    INFO: 2024-04-03 14:57:24,111:               log.py:   20: Logging to /mnt/c/Users/dudbo/Documents/Code-Projects/COMP3331/lab04/mdpdf.log
   DEBUG: 2024-04-03 14:57:24,111:               cli.py:  103: Lab04.md
    INFO: 2024-04-03 14:57:24,116:         converter.py:   14: Lab04.md
   DEBUG: 2024-04-03 14:57:24,151:      pdf_renderer.py:  470: printSegment: Lab04
   DEBUG: 2024-04-03 14:57:24,166:      pdf_renderer.py:  470: printSegment: Exercise 1
   DEBUG: 2024-04-03 14:57:24,248:      pdf_renderer.py:  470: printSegment: 1.1) What is the IP address of gaia.cs.umass.edu? On what port number is it sending
   DEBUG: 2024-04-03 14:57:24,269:      pdf_renderer.py:  470: printSegment: and receiving TCP segments for this connection? What are the IP address and TCP
   DEBUG: 2024-04-03 14:57:24,273:      pdf_renderer.py:  470: printSegment: port numbers used by the client computer (source) that is transferring the file to
   DEBUG: 2024-04-03 14:57:24,276:      pdf_renderer.py:  470: printSegment: gaia.cs.umass.edu?
   DEBUG: 2024-04-03 14:57:24,293:      pdf_renderer.py:  235: /mnt/c/Users/dudbo/Documents/Code-Projects/COMP3331/lab04/lab04-img/e1q1.png, 3163, 972
   DEBUG: 2024-04-03 14:57:24,557:      pdf_renderer.py:  470: printSegment: For gaia.cs.umass.edu:
   DEBUG: 2024-04-03 14:57:24,559:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-04-03 14:57:24,567:      pdf_renderer.py:  470: printSegment: The IP address is: 128.119.245.12
   DEBUG: 2024-04-03 14:57:24,569:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-04-03 14:57:24,571:      pdf_renderer.py:  470: printSegment: It sends and receives TCP segments on port 80
   DEBUG: 2024-04-03 14:57:24,574:      pdf_renderer.py:  470: printSegment: For the client it has:
   DEBUG: 2024-04-03 14:57:24,576:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-04-03 14:57:24,578:      pdf_renderer.py:  470: printSegment: IP Address: 192.168.1.102
   DEBUG: 2024-04-03 14:57:24,580:      pdf_renderer.py:  470: printSegment: l
   DEBUG: 2024-04-03 14:57:24,583:      pdf_renderer.py:  470: printSegment: port: 1161
   DEBUG: 2024-04-03 14:57:24,587:      pdf_renderer.py:  470: printSegment: 1.2) What is the sequence number of the TCP segment containing the HTTP POST
   DEBUG: 2024-04-03 14:57:24,589:      pdf_renderer.py:  470: printSegment: command?
   DEBUG: 2024-04-03 14:57:24,598:      pdf_renderer.py:  235: /mnt/c/Users/dudbo/Documents/Code-Projects/COMP3331/lab04/lab04-img/e1q2.png, 3173, 945
   DEBUG: 2024-04-03 14:57:24,836:      pdf_renderer.py:  470: printSegment: The sequence number containing the HTTP POST command is: 
   DEBUG: 2024-04-03 14:57:24,847:      pdf_renderer.py:  470: printSegment: 232129013
   DEBUG: 2024-04-03 14:57:24,856:      pdf_renderer.py:  470: printSegment: 1.3) Consider the TCP segment containing the HTTP POST as the first segment in the
   DEBUG: 2024-04-03 14:57:24,859:      pdf_renderer.py:  470: printSegment: TCP connection
   DEBUG: 2024-04-03 14:57:24,876:      pdf_renderer.py:  470: printSegment: 1.3.a) What are the sequence numbers of the first six segments in the TCP connection (including the
   DEBUG: 2024-04-03 14:57:24,879:      pdf_renderer.py:  470: printSegment: segment containing the HTTP POST) 
   DEBUG: 2024-04-03 14:57:24,882:      pdf_renderer.py:  470: printSegment: <u>
   DEBUG: 2024-04-03 14:57:24,894:      pdf_renderer.py:  470: printSegment:  sent from the client to the webserver 
   DEBUG: 2024-04-03 14:57:24,897:      pdf_renderer.py:  470: printSegment: </u>
   DEBUG: 2024-04-03 14:57:24,913:      pdf_renderer.py:  470: printSegment:  (Do not consider
   DEBUG: 2024-04-03 14:57:24,916:      pdf_renderer.py:  470: printSegment: the ACKs received from the server as part of these six segments)?
   DEBUG: 2024-04-03 14:57:24,919:      pdf_renderer.py:  470: printSegment: | Packet | TCP Packet No (Sender to Client) | Sequence Number |
   DEBUG: 2024-04-03 14:57:24,922:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-04-03 14:57:24,925:      pdf_renderer.py:  470: printSegment: | ------ | -------------------------------- | --------------- |
